Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,Column92,Column93,Column94,Column95,Column96,Column97,Column98,Column99,Column100,Column101,Column102,Column103,Column104,Column105,Column106,Column107,Column108,Column109,Column110,Column111,Column112,Column113,Column114,Column115,Column116,Column117,Column118,Column119,Column120,Column121,Column122,Column123,Column124,Column125,Column126,Column127,Column128,Column129,Column130,Column131,Column132,Column133,Column134,Column135,Column136,Column137,Column138,Column139,Column140,Column141,Column142,Column143,Column144,Column145,Column146,Column147,Column148,Column149,Column150,Column151,Column152,Column153,Column154,Column155,Column156,Column157,Column158,Column159,Column160,Column161,Column162,Column163,Column164,Column165,Column166,Column167,Column168,Column169,Column170,Column171,Column172,Column173,Column174,Column175,Column176,Column177,Column178,Column179,Column180,Column181,Column182,Column183,Column184,Column185,Column186,Column187,Column188,Column189,Column190,Column191,Column192,Column193,Column194,Column195,Column196,Column197,Column198,Column199,Column200,Column201,Column202,Column203,Column204,Column205,Column206,Column207,Column208,Column209,Column210,Column211,Column212,Column213,Column214,Column215,Column216,Column217,Column218,Column219,Column220,Column221,Column222,Column223,Column224,Column225,Column226,Column227,Column228,Column229,Column230,Column231,Column232,Column233,Column234,Column235,Column236,Column237,Column238,Column239,Column240,Column241,Column242,Column243,Column244,Column245,Column246,Column247,Column248,Column249,Column250,Column251,Column252,Column253,Column254,Column255,Column256
handedness,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left
demographicsRTs,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,7419,4814,4814,4814,4814,4814,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,5456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demographics_duration,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691,17691
dots_accuracy,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,100,100,100,100,100,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
dots_staircase,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263,54.88116360940263
dots_majoritySide,right,right,left,right,right,right,right,left,left,right,right,left,left,left,left,right,left,right,left,right,left,left,right,right,left,left,right,left,right,left,left,left,left,right,left,right,left,left,right,right,left,left,left,left,right,left,right,left,left,right,left,left,right,left,left,right,right,left,right,right,left,left,right,right,right,left,right,left,left,left,left,right,right,right,right,left,left,left,right,left,right,right,right,right,left,left,left,right,left,left,left,left,left,left,right,right,left,right,left,right,right,right,left,left,left,right,right,left,right,right,left,right,left,right,right,right,right,left,right,right,left,left,left,left,left,right,right,right,left,left,left,right,left,left,left,left,right,left,left,right,left,left,left,left,left,left,right,left,left,right,right,right,left,left,left,right,right,right,left,left,left,left,left,right,right,left,left,left,left,left,right,left,left,left,left,right,left,right,right,left,left,left,left,left,right,left,left,left,left,right,right,left,right,right,left,left,right,left,left,right,right,left,right,right,left,left,right,left,right,right,left,right,right,right,left,right,right,right,right,right,right,left,right,left,right,right,right,left,left,right,right,left,left,right,right,left,right,right,left,left,right,left,right,left,right,right,left,right,left,left,left,left,left,right,left
dots_confidences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,85,56,57,58,37,66,65,23,90,93,94,91,95,95,92,93,97,96,94,96,5,94,96,91,8,7,93,94,7,7,9,73,82,85,93,93,31,72,76,75,91,8,9,26,90,82,16,86,82,89,93,93,93,91,87,91,9,88,8,96,29,23,29,76,74,88,90,85,9,94,96,90,91,8,93,7,89,92,90,94,86,94,94,10,93,96,96,92,84,15,93,93,91,85,93,91,93,96,88,7,94,8,92,97,87,86,79,41,65,73,27,74,28,65,64,73,66,65,34,33,67,33,70,29,65,30,22,71,63,64,65,31,64,73,30,73,34,70,64,64,64,64,30,34,67,66,67,37,65,35,33,65,65,67,61,65,33,74,73,73,65,66,39,60,37,64,36,70,64,68,68,75,69,29,68,74,29,60,67,41,63,35,69,38,33,33,71,66,56,74,60,41,34,36,39,60,37,71,67,35,63,63,61,39
initial_choices,correct,correct,correct,correct,false,correct,correct,correct,correct,false,correct,correct,correct,correct,correct,false,correct,correct,correct,false,correct,correct,false,false,correct,correct,correct,correct,correct,correct,correct,correct,false,correct,false,correct,false,correct,correct,correct,correct,correct,correct,correct,false,false,correct,correct,correct,correct,correct,correct,correct,correct,correct,false,correct,correct,false,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,false,correct,correct,correct,false,false,correct,correct,false,false,false,correct,correct,correct,correct,correct,false,correct,correct,correct,correct,false,false,false,correct,correct,false,correct,false,correct,correct,correct,correct,correct,correct,correct,false,correct,false,correct,false,false,false,correct,correct,correct,correct,correct,false,false,correct,correct,correct,false,correct,false,correct,correct,correct,correct,correct,correct,correct,false,correct,correct,correct,correct,correct,false,correct,correct,correct,correct,correct,correct,correct,correct,correct,false,correct,false,correct,correct,correct,correct,correct,false,correct,correct,false,correct,false,correct,correct,correct,correct,correct,false,false,correct,false,correct,false,correct,false,false,correct,correct,correct,correct,false,correct,correct,false,correct,false,correct,false,correct,correct,correct,false,false,correct,correct,correct,false,correct,false,false,correct,correct,correct,correct,correct,false,correct,correct,correct,correct,correct,false,correct,false,correct,false,correct,false,correct,correct,correct,correct,false,correct,correct,false,correct,correct,false,correct,false,correct,false,false,false,correct,correct,false,correct,correct,false,false,false,false,correct,false,correct,correct,false,correct,correct,false,false
partner_confidences,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,88.84307530491922,89.93075794911749,91.45641068877603,8.921401424370188,9.015129844374698,91.22363168343801,88.61963289321625,85.86521451325237,7.778684674094755,89.5615392656174,13.252955482026621,94.13129863396261,92.09758065508821,89.65010505602727,88.64593713093555,92.74137135676469,91.30660097685043,86.80602730914771,11.965322401603828,94.80134266544289,12.715679228809321,93.79217637554353,12.298137632586368,88.29503438684345,89.66727379158218,87.64160391956884,90.10606207358074,89.23503061691605,86.57481855060757,93.54803903436859,91.05593332972845,86.46008798844217,94.38600520681314,86.48247354725606,89.50025071587534,93.75820155205253,7.644033232689068,9.526278736273255,88.37853788521397,89.82007472926314,87.77842792623397,88.34261222212278,88.81144657658538,88.10914621513922,11.057311019498776,8.510673294708432,90.73262588357426,9.546968361629546,11.352298540245286,89.16021013223522,87.11327853115878,90.28521325906672,91.57829066762119,93.86572749262459,11.229126597456016,92.75680564241831,92.61354875487243,7.2733561795991335,94.27104463704441,90.77816732411367,10.907309192579149,87.53146020266405,90.6540940316647,6.488869912968305,88.44563860566421,95.80114596966216,90.25535657789554,10.505827441658909,91.41427703565974,92.33288474680222,93.33219893897515,87.71091735176603,89.63102934868118,91.5584422599729,93.70037624081635,9.87387107856155,10.7088514773817,90.17717716993559,94.92232387700489,92.72775677924916,89.95630033797583,89.01516201405897,91.49299690192416,90.64830924075625,87.55254530029954,92.16140914226244,89.17512250108875,11.221406235114038,90.67910033908268,8.979203489615763,12.062286640725574,93.95780229601915,88.39886617071053,88.88931206524069,85.33017394136496,89.65387403477999,90.70858683872987,85.50167006040897,11.403001991111125,89.20664536004546,74.35613445912786,24.489977056551698,72.02911875139014,71.61960750399756,70.51500667800819,71.3720812624058,74.8068351772915,70.9723578249438,75.34365348679177,74.46422673319111,31.759318568953965,70.7146309809616,74.55959007642696,73.64446580046612,70.77234405965709,70.78957284225152,71.14182975832348,29.051229564900133,71.00727544630021,28.84523964199174,26.388740815919284,26.184084519788524,71.55984553763723,68.852438897295,72.17328758189679,70.27025489809668,76.03988785077549,72.8651929514734,71.16648204302358,70.60639948652505,75.95674059366036,76.38088398679992,26.67600659402129,71.79298145209853,73.29514602746391,73.97477348433605,73.71074950340213,30.62710889272689,27.157483482637986,25.14948119531714,75.14555441524976,72.38853670808511,71.66729663273973,71.542258527856,74.01752335841405,75.36254490226727,70.23333560688968,69.61582951437431,32.85254528123196,67.65015893475952,70.66108043524528,72.90948726815881,23.493925622186218,75.53843598967315,71.25019011251968,28.770349219186343,71.64254438793701,75.20942565862003,71.42132096218279,28.056328633128715,30.90779397339033,79.16648967076772,72.62314590192372,72.30160202236556,71.32174489747612,72.08641299817891,27.229047421432284,72.00838588801408,67.45057759533272,71.190995759136,26.798348547021472,73.19518542680308,74.13140048730259,29.001529272834865,73.70501875449689,74.04070542385813,26.771034760881506,72.8595630642667,75.35548173742411,72.83240057730112,27.68809565201207,29.645203392352897,74.8455777066182,77.52506418187998,72.53756920805958,74.89739112878367,70.96851435715547,71.77097071389232,28.730793768703496,72.28478630860783,71.45168912534076,71.97700524527127,24.949110605499115,22.7222345751144,71.58013547293932,28.932652831558375,77.43856411719833,25.873879838125628,27.681828452457573,72.86591364790908
dots_pairs,"[200,300]","[200,300]","[267,200]","[200,267]","[200,245]","[200,255]","[200,255]","[245,200]","[245,200]","[200,237]","[200,241]","[241,200]","[237,200]","[237,200]","[233,200]","[200,233]","[237,200]","[200,237]","[233,200]","[200,233]","[237,200]","[237,200]","[200,233]","[200,237]","[241,200]","[241,200]","[200,237]","[237,200]","[200,233]","[233,200]","[230,200]","[230,200]","[227,200]","[200,230]","[230,200]","[200,233]","[233,200]","[237,200]","[200,237]","[200,233]","[233,200]","[230,200]","[230,200]","[227,200]","[200,227]","[230,200]","[200,233]","[233,200]","[230,200]","[200,230]","[227,200]","[227,200]","[200,225]","[225,200]","[222,200]","[200,222]","[200,225]","[225,200]","[200,222]","[200,225]","[225,200]","[222,200]","[200,222]","[200,220]","[200,220]","[218,200]","[200,218]","[217,200]","[217,200]","[215,200]","[215,200]","[200,214]","[200,215]","[200,215]","[200,214]","[214,200]","[215,200]","[217,200]","[200,217]","[215,200]","[200,217]","[200,218]","[200,220]","[200,220]","[218,200]","[218,200]","[217,200]","[200,217]","[218,200]","[218,200]","[217,200]","[217,200]","[215,200]","[217,200]","[200,218]","[200,220]","[220,200]","[200,218]","[220,200]","[200,220]","[200,218]","[200,218]","[217,200]","[217,200]","[215,200]","[200,215]","[200,214]","[214,200]","[200,215]","[200,215]","[217,200]","[200,217]","[218,200]","[200,220]","[200,222]","[200,222]","[200,220]","[220,200]","[200,218]","[200,218]","[220,200]","[220,200]","[218,200]","[218,200]","[217,200]","[200,218]","[200,218]","[200,220]","[220,200]","[218,200]","[218,200]","[200,217]","[217,200]","[215,200]","[215,200]","[217,200]","[200,217]","[215,200]","[215,200]","[200,214]","[214,200]","[215,200]","[215,200]","[214,200]","[214,200]","[212,200]","[200,212]","[211,200]","[211,200]","[200,210]","[200,210]","[200,211]","[211,200]","[212,200]","[212,200]","[200,211]","[200,211]","[200,210]","[210,200]","[211,200]","[211,200]","[210,200]","[211,200]","[200,211]","[200,212]","[212,200]","[211,200]","[211,200]","[210,200]","[210,200]","[200,211]","[212,200]","[212,200]","[214,200]","[214,200]","[200,215]","[215,200]","[200,217]","[200,218]","[218,200]","[217,200]","[217,200]","[215,200]","[217,200]","[200,217]","[215,200]","[217,200]","[217,200]","[218,200]","[200,218]","[200,217]","[217,200]","[200,215]","[200,215]","[217,200]","[218,200]","[200,218]","[217,200]","[217,200]","[200,218]","[200,218]","[220,200]","[200,222]","[200,222]","[220,200]","[220,200]","[200,218]","[218,200]","[200,220]","[200,220]","[218,200]","[200,218]","[200,217]","[200,217]","[218,200]","[200,218]","[200,220]","[200,220]","[200,222]","[200,222]","[200,220]","[220,200]","[200,218]","[218,200]","[200,217]","[200,218]","[200,218]","[217,200]","[218,200]","[200,218]","[200,217]","[218,200]","[218,200]","[200,220]","[200,220]","[222,200]","[200,225]","[200,227]","[227,200]","[225,200]","[200,225]","[222,200]","[200,222]","[225,200]","[200,227]","[200,230]","[233,200]","[200,233]","[237,200]","[237,200]","[233,200]","[237,200]","[237,200]","[200,233]","[233,200]"
dots_isCorrect,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,false,true,true,true,false,true,true,false,false,true,true,true,true,true,true,true,true,false,true,false,true,false,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,false,true,true,false,false,false,true,true,true,true,true,false,true,true,true,true,false,false,false,true,true,false,true,true,true,true,true,true,true,true,true,false,true,false,true,false,false,false,true,true,true,true,true,false,true,true,true,true,false,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,false,true,true,false,true,false,true,true,true,true,true,false,false,true,false,true,false,true,false,false,true,true,true,true,false,true,true,false,true,false,true,true,true,true,true,false,false,true,true,true,false,true,false,false,true,true,true,true,true,false,true,true,true,true,true,false,true,false,true,false,true,true,true,true,true,true,false,true,true,false,true,true,false,true,false,true,false,false,false,true,true,true,true,true,false,false,false,false,true,false,true,true,false,true,true,true,false
dots_jointCorrect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,true,false,false,false,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,false,true,true,false,true,true,false,true,true,false,false,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false,false,false,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,false,false,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,false,false,true,true,true,true,true,false,true,true,true,false,true,true,false,true,true,false,true,true,true,false,false,true,true,true,true,true,true,false,true,true,true,false,false,true,false,true,false,false,true
dots_RTs,840,869,795,985,698,584,772,722,698,953,724,580,562,611,605,645,722,1164,952,946,890,1077,938,484,1313,1524,774,984,770,1179,1037,1035,1147,1002,1443,939,1765,971,879,906,867,925,838,953,926,1316,885,746,810,924,855,670,823,1201,992,746,702,872,700,686,736,752,794,1255,846,764,758,647,599,837,532,654,836,804,835,968,861,690,787,934,770,982,780,768,833,568,1416,1129,745,586,692,636,1332,837,725,856,702,832,732,614,677,750,697,646,663,871,788,1043,827,986,705,733,744,633,828,804,625,482,694,706,1032,748,568,774,841,761,713,1198,626,666,606,622,795,754,702,789,626,496,638,691,792,792,651,667,758,657,656,810,820,886,627,735,768,704,846,890,649,910,3939,673,604,722,625,703,773,603,676,628,660,854,677,800,556,615,574,949,944,468,654,448,618,546,564,502,968,845,631,550,489,438,629,544,586,416,688,596,601,617,618,673,769,658,626,601,533,536,878,619,632,544,556,532,638,667,638,619,646,514,618,586,609,564,705,539,600,786,611,674,641,556,650,502,556,924,753,673,665,580,639,774,648,514,669,689,396,550,647,2309,597,550,910,475,892,445,597
dots_waitTimes,2149,2186,2108,2302,2027,1898,2091,2068,2002,2278,2040,1891,1910,1930,1937,1954,2034,2488,2286,2275,2220,2409,2271,1800,2629,2844,2099,2297,2097,2499,2341,2358,2475,2321,2768,2250,3101,2290,2200,2221,2188,2228,2160,2275,2250,2628,2214,2080,2128,2257,5490,4454,5126,4740,4864,7039,5576,5442,6699,6695,5890,6017,5809,6464,6358,6031,5333,6098,5436,5630,5265,6223,5882,6308,5909,6097,5665,6150,5680,6340,6167,6219,5975,5378,5904,5206,5617,5732,4680,4933,4510,4896,6451,6061,5606,5837,6429,5121,5572,5354,5803,6710,5951,5170,5142,5624,5197,5551,5196,5511,5170,4961,5651,4880,5839,5619,4850,6435,5416,5298,5188,4960,4722,4892,5729,5385,5182,5936,5690,4497,5350,5643,5328,5105,5597,7068,5385,4678,4994,5196,5546,5244,5319,5324,5032,5101,5238,5377,5566,5333,5445,5381,5657,5170,5442,6738,7896,11626,17625,4460,4594,5820,4972,4881,5253,4556,4566,5062,4977,5759,4833,4854,5459,4670,5088,5717,4854,4451,5199,4654,9845,4809,4462,4079,4545,4589,4257,4227,3899,4565,4516,5049,5322,4789,5233,4723,4893,4274,5639,4831,5408,4848,4860,5130,4868,4462,6156,5070,4870,5030,4725,4746,5072,5071,4963,4671,4714,5367,4920,4836,4830,5084,5084,5107,4922,5082,5208,5095,5175,5285,4581,4374,4523,5297,6474,5524,4564,4698,4210,4460,4897,5029,4921,5051,3974,4264,4092,6220,4517,4157,5038,3966,7649,4853,4881
technical_issues,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
feedback_strategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feedback_technical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
